"","Name","System_number","Ecosystem_type","Country","Continent","Latitude","Longitude","LSR_mmy.1","DBD_gcm.3","Cdensity_kgCm.3","OC_content","OCBrate_gCm.2y.1","OC_depo_gCm.2y.1","OCBeff","Dating_method","Reference","Notes_ID"
"148","Beaver",12.2,"Reservoir","USA","N. America",43.89,-93.35,NA,NA,NA,7,51.72,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"149","Big Carnelian",15,"Lake","USA","N. America",45.13,-92.81,NA,NA,NA,13.01,22.64,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"150","Big Marine",16,"Lake","USA","N. America",45.22,-92.86,NA,NA,NA,15.32,55.06,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"151","Big Sandy",17,"Reservoir","USA","N. America",46.77,-93.28,NA,NA,NA,12.26,26.33,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"152","Brule",21,"Lake","USA","N. America",47.93,-90.67,NA,NA,NA,13.41,13.97,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"153","Buck",22,"Lake","USA","N. America",47.54,-93.19,NA,NA,NA,19.98,23.91,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"154","Calhoun",25,"Lake","USA","N. America",44.94,-93.31,NA,NA,NA,9.89,25.79,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"155","Carver",26,"Lake","USA","N. America",44.91,-92.98,NA,NA,NA,5.61,40.21,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"156","Christmas",30,"Lake","USA","N. America",44.9,-93.54,NA,NA,NA,9.46,26.36,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"157","Cruiser",36,"Lake","USA","N. America",48.5,-92.81,NA,NA,NA,14.89,20.76,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"158","Dark",38,"Lake","USA","N. America",47.64,-92.78,NA,NA,NA,11.86,34,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"159","Deepwater",39,"Lake","USA","N. America",47.62,-92.82,NA,NA,NA,26.95,19.14,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"160","Diamond",40,"Reservoir","USA","N. America",45.18,-94.84,NA,NA,NA,9.53,49.61,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"161","Dickman",41,"Lake","USA","N. America",44.86,-93.08,NA,NA,NA,14.26,35.37,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"162","Dixon",42,"Lake","USA","N. America",47.6,-94.29,NA,NA,NA,15.28,49.46,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"163","Duck",44,"Lake","USA","N. America",44.22,-93.82,NA,NA,NA,8.69,81.39,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"164","Dunns",45,"Lake","USA","N. America",45.16,-94.43,NA,NA,NA,8.83,88.64,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
"165","Dyers",46,"Lake","USA","N. America",47.53,-90.98,NA,NA,NA,11.98,22.03,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","D2008_1"
