"","Name","System_number","Ecosystem_type","Country","Continent","Latitude","Longitude","LSR_mmy.1","DBD_gcm.3","Cdensity_kgCm.3","OC_content","OCBrate_gCm.2y.1","OC_depo_gCm.2y.1","OCBeff","Dating_method","Reference","Notes_ID"
"210","Nipisiquit",131,"Lake","USA","N. America",47.36,-91.25,NA,NA,NA,17.53,18.89,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"211","Oak",133,"Lake","USA","N. America",44.54,-96.24,NA,NA,NA,7.79,53.62,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"212","Ohlsrud",134,"Lake","USA","N. America",45.8,-96.05,NA,NA,NA,8.45,61.64,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"213","Owasso",136,"Lake","USA","N. America",45.04,-93.12,NA,NA,NA,20.26,59.16,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"214","Peary",138,"Lake","USA","N. America",48.53,-92.77,NA,NA,NA,12.32,25.93,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"215","Peltier",139,"Lake","USA","N. America",45.18,-93.06,NA,NA,NA,13.24,67.43,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"216","Portage",142,"Lake","USA","N. America",46.97,-95.12,NA,NA,NA,13.55,66.02,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"217","Rainy",145,"Lake","USA","N. America",48.62,-93.01,NA,NA,NA,6.25,11.49,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"218","Richardson",148,"Lake","USA","N. America",45.16,-94.44,NA,NA,NA,5.9,76.89,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"219","Round",149,"Lake","USA","N. America",45.56,-95.27,NA,NA,NA,7.38,36.11,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"220","Round",149,"Lake","USA","N. America",47.21,-93.36,NA,NA,NA,22.36,62.27,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"221","Ryan",151,"Lake","USA","N. America",48.52,-92.71,NA,NA,NA,20.87,25.41,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"222","Sauk North",152,"Reservoir","USA","N. America",45.79,-94.94,NA,NA,NA,8.16,42.3,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"223","Sawbill",153,"Lake","USA","N. America",47.88,-90.88,NA,NA,NA,14.13,21.25,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"224","Schultz",154,"Lake","USA","N. America",44.78,-93.13,NA,NA,NA,13.08,28.83,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"225","Shallow",155,"Lake","USA","N. America",47.13,-93.3,NA,NA,NA,16.95,22.4,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"226","Shingobee",157,"Lake","USA","N. America",47,-94.69,NA,NA,NA,10.19,36.26,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"227","Shoepack",158,"Lake","USA","N. America",48.5,-92.88,NA,NA,NA,20.93,14.65,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"228","Side",159,"Lake","USA","N. America",47.67,-93.02,NA,NA,NA,19.68,26,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"229","Siseebakwet",161,"Lake","USA","N. America",47.16,-93.67,NA,NA,NA,8.78,28.16,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"230","Snells (Guile)",162,"Lake","USA","N. America",47.24,-93.68,NA,NA,NA,24.31,33.77,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"231","Solem",163,"Lake","USA","N. America",45.81,-95.64,NA,NA,NA,12.22,41.51,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"232","Speckled Trout",164,"Lake","USA","N. America",47.95,-89.85,NA,NA,NA,24.23,20.73,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"233","Spectacle",165,"Lake","USA","N. America",45.58,-93.41,NA,NA,NA,23.93,40.33,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"234","Spring",166,"Lake","USA","N. America",44.7,-93.47,NA,NA,NA,9.87,38.19,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"235","Spring",166,"Lake","USA","N. America",47.51,-93.46,NA,NA,NA,27.54,53.56,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"236","Square",168,"Lake","USA","N. America",45.16,-92.8,NA,NA,NA,14.05,14.07,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"237","Stahl's",176,"Lake","USA","N. America",44.95,-94.42,NA,NA,NA,12.33,71.13,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"238","Swamp",180,"Lake","USA","N. America",47.95,-89.86,NA,NA,NA,24.15,29.95,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"239","Tanners",182,"Lake","USA","N. America",44.95,-92.98,NA,NA,NA,12.11,27.3,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"240","Tettegouche",183,"Lake","USA","N. America",47.35,-91.27,NA,NA,NA,21.22,17.92,NA,NA,"210Pb and 137Cs","Dietz et al. 2015","K2020_1"
"241","Tooth",186,"Lake","USA","N. America",48.4,-92.64,NA,NA,NA,23.51,10.76,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"242","Turtle",189,"Lake","USA","N. America",45.1,-93.13,NA,NA,NA,20.32,35.24,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"243","Turtle A",189,"Lake","USA","N. America",45.88,-95.84,NA,NA,NA,5.98,64.37,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"244","Twin",190,"Lake","USA","N. America",44.99,-93.34,NA,NA,NA,13.57,40.81,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"245","Wakefield",195,"Lake","USA","N. America",45,-93.04,NA,NA,NA,8.6,24.84,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"246","West Twin",199,"Lake","USA","N. America",46.8,-92.59,NA,NA,NA,23.64,33.93,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"247","Willeys",201,"Lake","USA","N. America",47.54,-93.46,NA,NA,NA,29.24,24.54,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"248","Williams",203,"Lake","USA","N. America",46.96,-94.67,NA,NA,NA,24.58,31.89,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"249","Wilson",204,"Reservoir","USA","N. America",47.68,-91.08,NA,NA,NA,10.76,18.46,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"250","Windy",205,"Lake","USA","N. America",47.73,-91.08,NA,NA,NA,12.21,15.65,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"251","Winnibigoshish",206,"Lake","USA","N. America",47.44,-94.2,NA,NA,NA,16.35,35.63,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"252","Winona",208,"Lake","USA","N. America",45.88,-95.4,NA,NA,NA,8.29,57.85,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"253","Wolf",210,"Lake","USA","N. America",43.86,-95.09,NA,NA,NA,7.14,109.03,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"254","Wolf (Johnson)",211,"Lake","USA","N. America",47.38,-91.19,NA,NA,NA,18.58,19.68,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"255","Mille Lacs",352,"Lake","USA","N. America",46.23,-93.64,NA,NA,NA,15.68,23.17,NA,NA,"210Pb and 137Cs","Dietz et al. 2015",""
"256","Backbone Lake",6,"Reservoir","USA","N. America",42.6,-91.54,22.53,1.2,NA,4.04,1089,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"257","Barney Mundt",7,"Private impoundment","USA","N. America",42.03,-95.31,121.88,0.88,NA,4.37,4864,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"258","Black Hawk Lake",18,"Lake","USA","N. America",42.3,-95.02,12.82,0.71,NA,4.6,419,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"259","C. A. Stiles",24,"Private impoundment","USA","N. America",42.75,-95.55,19.26,0.84,NA,4.41,702,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"260","Charles Fienhold",29,"Private impoundment","USA","N. America",42.03,-95.31,383.75,1.01,NA,4.37,17392,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"261","Coralville Reservoir",34,"Reservoir","USA","N. America",41.81,-91.58,50.03,0.68,NA,0.42,148,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"262","Don Williams Lake",43,"Lake","USA","N. America",42.12,-94.02,29.11,0.55,NA,4.69,755,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"263","Fairfield 3",54,"Reservoir","USA","N. America",41.01,-91.96,21.11,0.83,NA,4.41,773,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"264","Farmer's Ditch",55,"Private impoundment","USA","N. America",42.32,-95.98,33.46,1.09,NA,6.1,2227,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"265","Fred Hollrah",65,"Private impoundment","USA","N. America",43.05,-91.39,167,0.93,NA,4.37,6537,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"266","Honey Creek F-1",76,"Lake","USA","N. America",41.03,-93.46,35,1.06,NA,4.37,1640,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"267","Jones Creek Reservoir",86,"Reservoir","USA","N. America",41.87,-95.93,79.87,0.88,NA,4.41,3093,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"268","Lower Pine Lake",114,"Lake","USA","N. America",45.24,-92.57,109.89,1.26,NA,4.18,5771,NA,NA,"Bathymetric surveys","Downing et al. 2008","O2012_1"
"269","Max Miller 5",117,"Private impoundment","USA","N. America",41.39,-95.48,108.46,1.18,NA,4.37,5593,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"270","Panorama Lake",137,"Lake","USA","N. America",41.72,-94.41,115.95,1.2,NA,5.02,6987,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"271","Prairie Rose Lake",143,"Lake","USA","N. America",41.6,-95.22,49.77,1.47,NA,3.9,2862,NA,NA,"Bathymetric surveys","Downing et al. 2008",""
"272","Springbrook Lake",167,"Lake","USA","N. America",41.75,-94.48,29.13,0.77,NA,4.93,1111,NA,NA,"Bathymetric surveys","Downing et al. 2008","R2017_1"
"273","Swan Lake",181,"Reservoir","USA","N. America",42.04,-94.85,7.51,0.88,NA,5.35,353,NA,NA,"Bathymetric surveys","Downing et al. 2008","R2017_1"
"274","Theobold C",184,"Private impoundment","USA","N. America",42.32,-95.98,34.63,1.09,NA,4.37,1635,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"275","Theobold Main",184,"Private impoundment","USA","N. America",42.32,-95.98,49.34,1.16,NA,4.41,2519,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"276","Tracy North",187,"Private impoundment","USA","N. America",42.03,-95.31,56.11,0.87,NA,4.37,2122,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"277","Union Grove Lake",191,"Lake","USA","N. America",42.13,-92.73,30.96,0.69,NA,4.55,958,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"278","Wapello Lake",196,"Lake","USA","N. America",40.81,-92.58,14.22,0.52,NA,6.85,508,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"279","Wilbur Meyer",200,"Private impoundment","USA","N. America",42.03,-95.31,149,0.9,NA,4.37,5647,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2014_1"
"280","William Esbeck",202,"Private impoundment","USA","N. America",41.72,-94.93,111,0.9,NA,4.37,4201,NA,NA,"Bathymetric surveys","Downing et al. 2008","S2012_1"
"281","Alinen Rautjärvi",334,"Lake","Finland","Europe",61.19,25.1,0.2,NA,NA,NA,4,NA,NA,"Thickness+lake age","Einola et al. 2011","S2009_1"
"282","Ekojärvi",335,"Lake","Finland","Europe",61.2,24.95,0.2,NA,NA,NA,6,NA,NA,"Thickness+lake age","Einola et al. 2011","S2009_1"
"283","Kuohijärvi",336,"Lake","Finland","Europe",61.24,24.87,0.2,NA,NA,NA,1,NA,NA,"Thickness+lake age","Einola et al. 2011","S2009_1"
"284","Valkea-Kotinen",337,"Lake","Finland","Europe",61.24,25.06,0.14,NA,NA,NA,3,NA,NA,"Thickness+lake age","Einola et al. 2011","S2009_1"
"285","Brendan",20,"Lake","Canada","N. America",51.5,-75.5,NA,NA,NA,NA,9.6,36.13,26.57,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"286","Clarkie",31,"Lake","Canada","N. America",52.22,-75.5,NA,NA,NA,NA,8.94,47.76,18.72,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"287","EM-320",52,"Lake","Canada","N. America",51.5,-75.5,NA,NA,NA,NA,60.45,48.71,124.1,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"288","Labyrinthe",89,"Lake","Canada","N. America",51.5,-75.5,NA,NA,NA,NA,45.42,31.64,143.55,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"289","Lake 34",92,"Lake","Canada","N. America",51.98,-75.77,NA,NA,NA,NA,11.72,13.34,87.86,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"290","Lake 40",93,"Lake","Canada","N. America",52.03,-75.52,NA,NA,NA,NA,17.45,11.66,149.66,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"291","Lake 60",94,"Lake","Canada","N. America",52.23,-75.76,NA,NA,NA,NA,8.79,9.68,90.81,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"292","Lake 66",95,"Lake","Canada","N. America",51.96,-76.01,NA,NA,NA,NA,18.77,28.85,65.06,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"293","Lake 8",96,"Lake","Canada","N. America",52.13,-75.72,NA,NA,NA,NA,17.65,13.29,132.81,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"294","Mistumis",125,"Lake","Canada","N. America",52.15,-76.17,NA,NA,NA,NA,6.14,22.19,27.67,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"295","Natel",128,"Lake","Canada","N. America",51.5,-75.5,NA,NA,NA,NA,10.54,19.28,54.67,"210Pb+sediment mapping","Ferland et al. 2014","S2009_1"
"296","Chaohu Lake",234,"Lake","China","Asia",31.55,117.57,NA,NA,NA,0.56,9.8,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"297","Honghu Lake",237,"Lake","China","Asia",29.85,113.34,1.6,NA,NA,NA,113.2,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"298","Nanyihu Lake",242,"Lake","China","Asia",31.09,118.98,NA,NA,NA,0.98,28.9,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"299","Shijiuhu Lake",244,"Lake","China","Asia",29.83,115.02,NA,NA,NA,1.25,25.4,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"300","Taihu Lake",246,"Lake","China","Asia",31.26,120.21,NA,NA,NA,0.42,18.6,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"301","Taihu Lake",246,"Lake","China","Asia",31.26,120.21,NA,NA,NA,0.51,16.7,NA,NA,"210Pb and 137Cs","Gui et al. 2013","S2009_1"
"302","Black Hawk Lake",18,"Lake","USA","N. America",42.3,-95.02,NA,NA,NA,8.3,99.55,NA,NA,"210Pb","Heathcote et al. 2013","S2011_1"
"303","Center Lake",27,"Lake","USA","N. America",43.42,-95.13,NA,NA,NA,4.84,62.87,NA,NA,"210Pb","Heathcote et al. 2013","S2011_1"
"304","Cornelia Lake",35,"Lake","USA","N. America",42.79,-93.69,NA,NA,NA,20.09,202.94,NA,NA,"210Pb","Heathcote et al. 2013","S2011_1"
"305","Crystal Lake",37,"Lake","USA","N. America",43.23,-93.79,NA,NA,NA,4.13,105.73,NA,NA,"210Pb","Heathcote et al. 2013","S2011_1"
"306","East Lake Okoboji",48,"Lake","USA","N. America",43.37,-95.12,NA,NA,NA,6.22,88.28,NA,NA,"210Pb","Heathcote et al. 2013","X2015_1"
"307","Five Island Lake",59,"Lake","USA","N. America",43.12,-94.68,NA,NA,NA,35.6,818.72,NA,NA,"210Pb","Heathcote et al. 2013",""
"308","High Lake",74,"Lake","USA","N. America",43.3,-94.7,NA,NA,NA,9.45,175.84,NA,NA,"210Pb","Heathcote et al. 2013","X2015_2"
"309","Ingham Lake",80,"Lake","USA","N. America",43.32,-94.7,NA,NA,NA,27.89,273.37,NA,NA,"210Pb","Heathcote et al. 2013","X2015_3"
"310","Iowa Lake",81,"Lake","USA","N. America",43.5,-94.46,NA,NA,NA,6.35,138.43,NA,NA,"210Pb","Heathcote et al. 2013","X2013_1"
"311","Little Spirit Lake",103,"Lake","USA","N. America",43.51,-95.13,NA,NA,NA,5.73,110.55,NA,NA,"210Pb","Heathcote et al. 2013",""
"312","Little Wall Lake",106,"Lake","USA","N. America",42.27,-93.64,NA,NA,NA,29.89,188.33,NA,NA,"210Pb","Heathcote et al. 2013",""
"313","Lost Island Lake",112,"Lake","USA","N. America",43.17,-94.9,NA,NA,NA,15.78,138.88,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"314","Lower Gar Lake",113,"Lake","USA","N. America",43.35,-95.12,NA,NA,NA,10.92,200.99,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"315","Burt Lake",119,"Lake","USA","N. America",43.5,-94.38,NA,NA,NA,3.28,110.86,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"316","Minnewashta Lake",124,"Lake","USA","N. America",43.36,-95.12,NA,NA,NA,2.67,69.3,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"317","Morse Lake",126,"Lake","USA","N. America",42.84,-93.69,NA,NA,NA,2.5,43.23,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"318","North Twin Lake",132,"Lake","USA","N. America",42.48,-94.64,NA,NA,NA,10.56,122.45,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"319","Pickerel Lake",140,"Lake","USA","N. America",42.9,-94.92,NA,NA,NA,9.91,158.51,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"320","Rice Lake",147,"Lake","USA","N. America",43.39,-93.5,NA,NA,NA,29.57,109.4,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"321","Silver Lake (Dickinson)",160,"Lake","USA","N. America",43.44,-95.35,NA,NA,NA,12.5,132.48,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"322","Silver Lake (Palo Alto)",160,"Lake","USA","N. America",43.03,-94.88,NA,NA,NA,5.36,110.97,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"323","Silver Lake (Worth)",160,"Lake","USA","N. America",43.48,-93.42,NA,NA,NA,131.6,65.8,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"324","Trumbull Lake",188,"Lake","USA","N. America",43.2,-94.95,NA,NA,NA,7.47,113.47,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"325","Upper Gar Lake",192,"Lake","USA","N. America",43.37,-95.12,NA,NA,NA,18.45,130.99,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"326","Virgin Lake",194,"Lake","USA","N. America",43.1,-94.89,NA,NA,NA,9.69,130.85,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"327","West Lake Okoboji",197,"Lake","USA","N. America",43.37,-95.15,NA,NA,NA,6.81,67.45,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"328","West Swan Lake",198,"Lake","USA","N. America",43.35,-94.69,NA,NA,NA,15.57,147.94,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"329","West Twin Lake",199,"Lake","USA","N. America",42.94,-93.73,NA,NA,NA,7.08,145.22,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"330","Tuttle Lake",622,"Lake","USA","N. America",43.5,-94.6,NA,NA,NA,7.06,127.09,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"331","Diamond Lake",729,"Lake","USA","N. America",43.48,-95.19,NA,NA,NA,5.65,113.59,NA,NA,"210Pb","Heathcote et al. 2013","K2013_1"
"332","August",5,"Lake","USA","N. America",47.76,-91.61,NA,NA,NA,29.5,31,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"333","Bass 1",8,"Lake","USA","N. America",44.92,-85.88,NA,NA,NA,66.8,25,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"334","Bass 2",8,"Lake","USA","N. America",43.82,-94.08,NA,NA,NA,13.3,48,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"335","Bean",10,"Lake","USA","N. America",44.07,-95.37,NA,NA,NA,17,75,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"336","Beaver 1",12.1,"Reservoir","USA","N. America",43.89,-93.35,NA,NA,NA,14.9,45,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"337","Clear",32,"Lake","USA","N. America",44.46,-94.51,NA,NA,NA,18.8,109,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"338","Cruiser",36,"Lake","USA","N. America",48.5,-92.8,NA,NA,NA,31.8,26,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"339","Diamond",40,"Reservoir","USA","N. America",45.18,-94.84,NA,NA,NA,20.5,21,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"340","Duck",44,"Lake","USA","N. America",44.22,-93.82,NA,NA,NA,18.7,101,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"341","Dunns",45,"Lake","USA","N. America",45.16,-94.43,NA,NA,NA,19.2,86,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"342","Edwards",49,"Lake","USA","N. America",45.51,-95.47,NA,NA,NA,23,73,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"343","Ek",50,"Lake","USA","N. America",48.47,-92.84,NA,NA,NA,45.1,25,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"344","Fish",58,"Lake","USA","N. America",44.82,-93.16,NA,NA,NA,13.2,56,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"345","Fox",64,"Lake","USA","N. America",43.68,-94.7,NA,NA,NA,14.4,98,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"346","George B.E.",66,"Lake","USA","N. America",44.98,-92.88,NA,NA,NA,18.2,48,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"347","George Kandi",66,"Lake","USA","N. America",45.23,-94.98,NA,NA,NA,18.8,28,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"348","Henderson",73,"Lake","USA","N. America",45.23,-94.99,NA,NA,NA,30,27,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"349","Hjermsted A",75,"Lake","USA","N. America",44.17,-95.97,NA,NA,NA,13.8,106,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"350","Kabetogama",87,"Lake","USA","N. America",48.46,-92.95,NA,NA,NA,24.7,29,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"351","Kreighle",88,"Lake","USA","N. America",45.58,-94.48,NA,NA,NA,47.1,36,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"352","Lac La Croix",90,"Lake","Canada","N. America",48.36,-92.18,NA,NA,NA,20.6,13,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"353","Lady Slipper",91,"Lake","USA","N. America",44.57,-95.63,NA,NA,NA,14.5,55,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"354","Little Lower Elk",102,"Lake","USA","N. America",45.93,-95.81,NA,NA,NA,21.4,47,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"355","Little Trout",104,"Lake","USA","N. America",48.4,-92.52,NA,NA,NA,24.2,9,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"356","Little Turtle",105,"Lake","USA","N. America",45.88,-95.85,NA,NA,NA,28.4,51,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"357","Locator",107,"Lake","USA","N. America",48.54,-93.01,NA,NA,NA,44.9,9,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"358","Lone Tree",109,"Lake","USA","N. America",44.69,-95.45,NA,NA,NA,16.7,85,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"359","Long",110,"Lake","USA","N. America",45.33,-94.87,NA,NA,NA,20.6,21,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"360","Namakan",127,"Lake","USA","N. America",48.43,-92.7,NA,NA,NA,15.3,15,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"361","Nelson",129,"Lake","USA","N. America",45.52,-95.44,NA,NA,NA,19.4,61,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"362","Nipisiquit",131,"Lake","USA","N. America",47.36,-91.25,NA,NA,NA,38.1,21,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"363","Oak",133,"Lake","USA","N. America",44.54,-96.24,NA,NA,NA,16.1,59,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"364","Ohsrund",134,"Lake","USA","N. America",45.8,-96.05,NA,NA,NA,18.3,63,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"365","Peary",138,"Lake","USA","N. America",48.52,-92.77,NA,NA,NA,28.3,29,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"366","Rainy",145,"Lake","USA","N. America",48.54,-92.83,NA,NA,NA,13.3,14,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"367","Richardson",148,"Lake","USA","N. America",45.16,-94.44,NA,NA,NA,12.6,81,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"368","Round",149,"Lake","USA","N. America",47.21,-93.36,NA,NA,NA,20.2,102,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"369","Round-Pope",149,"Lake","USA","N. America",45.56,-95.27,NA,NA,NA,16,70,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"370","Ryan",151,"Lake","USA","N. America",48.52,-92.71,NA,NA,NA,43.6,29,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"371","Solem",163,"Lake","USA","N. America",45.81,-95.64,NA,NA,NA,26.7,41,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"372","Speckled Trout",164,"Lake","USA","N. America",47.95,-89.85,NA,NA,NA,51.7,22,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"373","Stahls",176,"Lake","USA","N. America",44.95,-94.42,NA,NA,NA,26.3,71,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"374","Moskey Basin, Lake Superior",178,"Lake","USA","N. America",48.07,-88.57,NA,NA,NA,13.8,19,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"375","Swamp",180,"Lake","USA","N. America",47.95,-89.86,NA,NA,NA,52.7,38,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"376","Tettegouche",183,"Lake","USA","N. America",47.34,-91.27,NA,NA,NA,44.8,19,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
"377","Tooth",186,"Lake","USA","N. America",48.4,-92.64,NA,NA,NA,49.2,12,NA,NA,"210Pb","Hobbs et al. 2013 ","K2013_1"
